group,total_balance
Group_1,412596738.040684
Group_2,17147113.6372
Group_3,14578831.304888
Group_4,11348900.162353
Group_5,10277661.830707
Group_6,10058878.899778
Group_7,10000014.353049
Group_8,10000000.0
Group_9,9455652.137577
Group_10,9101753.504234
Group_11,8679145.987024
Group_12,8383652.123068
Group_13,7472358.508615
Group_14,7399385.401764
Group_15,6117460.0
Group_16,6041099.586115
Group_17,5628601.849107
Group_18,5485180.687413
Group_19,5308320.960404
Group_20,5000000.0
Group_21,4825261.777225
Group_22,4248870.114821
Group_23,4243575.528605
Group_24,4190378.778403
Group_25,4021685.466525
Group_26,3954152.355101
Group_27,3830869.039897
Group_28,3820635.73024
Group_29,3786072.640384
Group_30,3712959.328889
Group_31,3690069.169889
Group_32,3581337.396989
Group_33,3469558.012589
Group_34,3273230.191
Group_35,3245974.338422
Group_36,3186251.174546
Group_37,3086018.639467
Group_38,2988007.989753
Group_39,2960025.343896
Group_40,2909913.587339
Group_41,2887757.568271
Group_42,2855594.727499
Group_43,2818818.244687
Group_44,2815200.01885
Group_45,2737561.01713
Group_46,2605804.833316
Group_47,2500000.600345
Group_48,2473226.306296
Group_49,2377193.680123
Group_50,2366414.48613
Group_51,2352580.462224
Group_52,2252009.60005
Group_53,2235419.236953
Group_54,2173949.604022
