address,balance,percentage,group,global_rank
GGBc4wJV68Mso4vuiwjBoJ4g2BDUqwjgbMjSuR7juL4a,124272974.762441,18.048317282096413,Group_1,1
9VR99Uz88nSKiE9aPqKzb7cukGCKfzY8PGBLkc2qrorA,23809433.772531,3.4578734101694293,Group_1,2
5N2AYw3kHLkpi4qhfwNoUAvsavDZUPDCzD87upaQ6169,23402529.694045,3.398778229371408,Group_1,3
6eyujQxJbysQwJit9SUXyWKhaheyhBWfVNq1tS3CrCEh,16712295.109887,2.4271472154896077,Group_1,5
9HCTuTPEiQvkUtLmTZvK6uch4E3pDynwJTbNw6jLhp9z,15811108.537524,2.2962667789388274,Group_1,6
AiCkGXSgkU8j9hBTu2jFXTHo1qo9AND5sc7oUkfmhKyV,11128349.385691,1.61618389616015,Group_1,9
7aE2AkPLMWemJ5EdanyMjt4xeFWbdhy2deh8PZZiJabs,10777777.0,1.565269836531436,Group_1,10
Fh3kfdQGDwzpiiME3X3h6dsbayd3ufrfP3GrdmJ7LKJT,10524788.059594,1.528527940925917,Group_1,11
6r3iwsdXHRUP9kyEWVaG49T8zqysz1XTqUthdjo5Lxsb,10242161.556782,1.4874817456060478,Group_1,13
9CPoMRvT6AoLNPJvajiVbpVZR9eJM9sUbHeWw1UjFRBg,9244434.295541,1.3425805858301818,Group_1,18
HG6uW2R3ABehfnmEWKTyRqG6LuBQ76HW3ZQ1BNbmcG39,8674122.162046,1.2597534518147337,Group_1,21
12r2z5KD8ZsU6hjgcsfMRn4U8boXTa3MMf6BKdookX3u,8528111.859159,1.2385481955794415,Group_1,22
9UHgsVRTfqZCgGYZ1BmPt6EiR4M9zAVfa1Lyo8Ama41g,8383306.422581,1.2175179235631148,Group_1,24
26D4EuA1kFXZ6yBsJFhmjeR8x2gNZyKiAwVZ2SZynDrA,8234607.254012,1.1959221600509953,Group_1,25
NjM3Ec6QZ8bV1zYsKpW8HpTEEskCv512aooM67g4v2Z,7292284.97759,1.0590675345029819,Group_1,28
JDkA2zGDoL184ZCxkETmZMUucZve3S9iCpCygK7X383m,6647026.594125,0.9653558642386222,Group_1,29
5bpMvkaSqUgBVAgm3p764Ze9N3oQRed9ciVZkhasm51j,6579979.189587,0.9556184870465488,Group_1,30
3Yf2DcLhqKhxh8Br3zwq69GCDkXZxBDtKBVAroyVFdcG,5906181.374793,0.8577619999975179,Group_1,33
BWRMo7bLppK99mADDvodTbtHCc8KyVPcHvnFSPrPCens,5346452.356999,0.7764718649182417,Group_1,36
